搜索关键词,笔记标题,笔记内容,笔记点赞量,笔记评论量,笔记收藏量,笔记分享量,笔记类型,标题关键词,行业标签,笔记发布时间,达人昵称,达人描述,达人等级,达人性别,达人地区,达人关注总量,达人笔记总量,达人粉丝总量,达人收藏总量,达人点赞总量,笔记详情链接
华为,新入手华为GT2e [微笑R][微笑R],新入手华为GT2e [微笑R][微笑R]想要的功能全都有[斜眼R],6,0,0,0,视频,['华为怎么样'],"['科技数码', '数码']",2020/5/13,前凸后翘臣妾做不到,None,尿布薯,女,北京 通州,496,1,8,0,7,https://www.xiaohongshu.com/discovery/item/5ebb43710000000001000434
华为,华为,像素好到爆，原来一直用的oppo，成功转粉华为。分享下今日份喜欢?,0,0,0,0,图文,"['华为怎么样', '自拍', 'oppo怎么样', '今日份做作自拍']","['科技数码', '数码']",2020/5/13,胡梦琳,如果找不到懂自己的人，那就宁缺毋滥。,困困薯,女,中国  ,21,6,20,0,22,https://www.xiaohongshu.com/discovery/item/5ebb436e0000000001000430
华为,求问你们的华为手机用几年不卡啊,集美们，换手机瘾犯了，又一直纠结到底换华为还是苹果。不是果粉，用它仅仅是因为真的用好几年都不会卡顿，以前用的安卓手机最多两年完全动不了了[失望R],7,32,0,0,图文,"['华为手机', '华为怎么样', '果粉', '安卓手机', '华为P40']","['科技数码', '数码']",2020/5/13,bullinda,,困困薯,男,四川 南充,14,5,3,1,22,https://www.xiaohongshu.com/discovery/item/5ebb3fbb0000000001003bb5
华为,,"华为Nova6 5G手机主要元器件供应商表
从表上可以看到，华为Nova6的主要元器件采用华为海思的占比很高，只有为数不多的几件采用的是供应商的元器件，
华为手机现在采用自研的比率越来越高，但是还是会采用其它供应商，这或许就是任总说的，就算自己全都可以生产，也还是会用其它供应商，避免单一供应链断档。",1,0,0,0,图文,"['华为怎么样', '数码科技', '华为手机', '科技数码资讯分享']","['科技数码', '数码']",2020/5/13,小猪搞机,一个数码爱好者，手机摄影爱好者，vlog初学者。,泡泡薯,男,中国  ,129,925,114,348,1483,https://www.xiaohongshu.com/discovery/item/5ebb316c00000000010025ad
华为,宁波二手华为p30pro 8+128天空之镜,"宁波二手华为P30pro 8-128天空之境，全原98新，串号32169
宁波二手手机回收 宁波二手华为手机批发",0,0,0,0,视频,"['东海宾馆自由行热门攻略', '华为手机', '宁波贺道华']","['科技数码', '数码']",2020/5/13,贺道华,,困困薯,男,地球的某一片红薯地,63,28,352,4,30,https://www.xiaohongshu.com/discovery/item/5ebb2cfa0000000001007fcd
华为,苹果粉转华为失败?,"对不起大家    上篇写的华为P40Pro     我宣布  苹果转华为失败?
纠结到底还是买了Promax   暗夜绿  真特么的香?
颜色太纠结了 到底还是选了新色
银色不耐脏   金色之前有了   然后黑色不想要   只剩暗夜绿了
说实话   更爱苹果?
可能是习惯了  登陆ID  太强大了   原封不动的备份了   666
人生建议  如果一直手持苹果   不建议转华为✌?",0,3,0,0,图文,"['数码科技', '数码']","['科技数码', '数码']",2020/5/13,只诉温暖不言殇丶,,困困薯,女,安徽 合肥,41,14,46,6,58,https://www.xiaohongshu.com/discovery/item/5ebae0b200000000010004d2
华为,纠结华为matebook14和戴尔7391,"想入手一款电脑，一直纠结是买华为matebook14还是戴尔的7391
感觉各有各的优点，很纠结
现在高三，因为之前的电脑坏了，想现在入手一个，大学继续用，大学读英语专业，对游戏没有要求，可玩可不玩
求姐妹们给个建议！！！！！！！！！",7,18,0,0,图文,"['戴尔怎么样', '华为怎么样', '笔记本电脑', '笔记本电脑推荐']","['科技数码', '数码']",2020/5/13,H.,,奶瓶薯,女,地球的某一片红薯地,15,2,6,0,11,https://www.xiaohongshu.com/discovery/item/5ebad14000000000010034ba
华为,分享超值的华为手机壳,"新入手了华为mate30，后面被人称作滚筒式洗衣机摄像头真是不好搭配，但是怎么说手机壳就是门面呀！
这一个手机壳是我买到目前为止最喜欢的手机壳了！用到现在也没有发黄变脏，而且我买完竟然降价了！！？现在才9.8！呜呜我好亏T﹏T",8,8,0,0,图文,"['手机壳', '华为怎么样', '摄像头', '洗衣机', '搭配']","['科技数码', '数码']",2020/5/13,COCO,有什么就发什么,尿布薯,女,中国  ,140,2,16,0,12,https://www.xiaohongshu.com/discovery/item/5ebaceb9000000000101f79a
华为,华为主题,快来猜猜看华为主题,1,0,0,0,图文,['华为怎么样'],"['科技数码', '使用技巧']",2020/5/13,Lanna,None,困困薯,女,地球的某一片红薯地,169,12,4,2,36,https://www.xiaohongshu.com/discovery/item/5ebacc200000000001002bd1
华为,华为也有好看又平价手机壳[哭],"今天给大家安利液态硅胶手机壳！
因为我的华为nova5p是绿色的，买透明壳就很丑[捂脸R]但是找来找去也没有全包的好看手机壳
之前一直用的是苹果手机 新买的华为手机的手机壳都是去定制的网上苹果手机壳图案，一个壳子就得三十多[哭惹R]
终于找到了简约可爱的手机壳，和苹果手机同款的古董白！",1,0,0,0,图文,"['手机壳', '华为怎么样', '苹果手机', '手机支架', '华为手机']","['科技数码', '数码']",2020/5/12,荔枝杏仁茶,,困困薯,男,地球的某一片红薯地,155,3,7,2,12,https://www.xiaohongshu.com/discovery/item/5ebac5910000000001001ba3
华为,华为手机壳 | 老古董终于换新衣！,"我的华为mate8已经用5年了，在1688都找不到对胃口的手机壳...
现在20多块买一把 真香！",1,2,0,0,图文,"['手机壳', '华为怎么样', '植树节去哪玩']","['科技数码', '数码']",2020/5/12,__Polapo,这个人很懒，ta什么也没有留下,尿布薯,无,广东  广州,171,2,19,4,1,https://www.xiaohongshu.com/discovery/item/5ebabff70000000001006424
华为,,"华为比IP68级别还高的，防尘防水透气专利爆光
5月1日，华为终端新申请了一项新的专利曝光，专利资料显示，该技术主要用于终端设备上的防尘、防水、透气等方面，该技术有望使华为的终端设备的防尘、防水、透气等性能有进一步突破。
近年来，各厂家对手机等设备的防尘、防水、透气也越来越重视，更高的防尘、防水、透气性能，就代表手机能适应更恶劣的环境，期待华为的这项新技术早日应用到产品中。",0,0,0,0,图文,"['透气', '数码科技', '华为怎么样', '透气性', '科技数码资讯分享']","['科技数码', '数码']",2020/5/12,小猪搞机,一个数码爱好者，手机摄影爱好者，vlog初学者。,泡泡薯,男,中国  ,129,925,114,348,1483,https://www.xiaohongshu.com/discovery/item/5ebabdfa000000000101cd39
华为,华为P40使用体验感！,"作为?手机的脑残粉, 终于还是败给苹果爸爸的定价第一次选择华为手机。
P40的颜值还是很吸引我的，性价比也很高。买的时候在零度白和冰霜银之间纠结了很久，零度白后面是漆面的材质，会留下很多手印，冰霜银是哑光的材质，相对来说不太容易留下手印，所以一咬牙一跺脚就买了银色。
之前一直不肯放弃苹果是因为买了很多年Apple Music的会员, 里面的歌单就是我的心肝宝贝啊舍不得放弃?但万万没想到安卓的应用商店里居然有苹果音乐！且登陆苹果ID之后所有的歌都来了！开开心心。
拍照功能不会描述，所以附上第一张用这个手机拍的照片作参考。
新手机还意外的让我体验了一次华为的售后[笑哭R]刚拿到新机的第三天，上下音量键和锁屏键同时失灵。拿到售后去检测鉴定之后，按照要求在购机十五天内出现质量问题免费更换一台新机。开始遇到问题的时候还是挺失望的，售后小姐姐说还从来没有遇到修P40的顾客，还特别愧疚的说希望我能再给华为一次机会[笑哭R]PS我这运气简直可以买彩票。总的来说拿到第二个新机到目前为止使用感还是很好的，充电很快，耗电很慢，手机大小和重量刚好适合我等小手党。四千多的手机用两年换一个我不会心疼但是五位数的苹果emmmm[石化R]
总之好评 推荐一波[赞R]",11,0,0,0,图文,"['华为怎么样', '歌单', '拍照', '哑光', '充电']","['科技数码', '数码']",2020/5/12,花甩甩,分享日常 分享所爱,奶瓶薯,女,吉林 长春,45,2,6,0,15,https://www.xiaohongshu.com/discovery/item/5ebaba700000000001004ee6
华为,华为HUAWEI p40por手感不要太好??,可以这是说人生中种草的第一台华为手机[偷笑R]我买的p40por的冰霜银真心显档次 ！手感超级好。像素没话说，用了这多年的苹果真心觉得这款华为??！支持国货??。,7,0,0,0,图文,"['华为怎么样', '蓝牙音箱', '摄影', '海赋江城·天韵A区自由行热门攻略', 'cc霜']","['科技数码', '数码']",2020/5/12,鎖づ/xinん嗳,,困困薯,女,中国,17,16,76,302,480,https://www.xiaohongshu.com/discovery/item/5ebab8460000000001002bd5
华为,华为pro40,自从华为pro40发布，就种草了，赵先生一直说等出mate40给我换一个，可是我就喜欢pro系列，可能是不太喜欢特别曲屏的赶脚，平时爱给孩子照相觉得还是这个比较好，以前是忠实的果粉，最近爱国心强烈，从此爱上华为，也是真心的好用！,4,3,0,0,图文,"['华为怎么样', '果粉', '种草']","['科技数码', '数码']",2020/5/12,cecilia_金球妈妈,感恩，惜福！一枚三宅粉丝！,困困薯,女,北京 朝阳,109,20,473,47,404,https://www.xiaohongshu.com/discovery/item/5ebab62b0000000001002508
华为,华为专业模式后置闪光灯,"我的手机是高考完家里买的，家里秉着支持国产原则给买的华为，上大学后偶然室友用她的苹果给我拍照我惊了，那是我第一张可以发出去给人看的那种照片?，从此一直一直想换苹果?，家里一直一直不给?现在也只是大一学生，没有什么经济能力，就搁置了
那么既然一时半会换不了苹果?，那就尽力去发现华为的美吧，这是我第一次get到华为的原相机
建议大家不要用前置，真的真的真的太难看了，可以尝试一下后置
☀我的手机型号：麦芒八(华为超冷门型号，买不到手机壳的那种)
后面的boy是我爸?",1,0,0,0,图文,"['闪光灯', '拍照', '华为怎么样', '相机', '手机壳']","['科技数码', '数码']",2020/5/12,他真是个迷人的家伙儿,小红书认证：韩娱推广大使,困困薯,女,中国  ,31,3,0,19,47,https://www.xiaohongshu.com/discovery/item/5ebab50e0000000001007566
华为,华为免费主题✨,华为手机真的太香了 美少女战士主题 ???集美们都安排上就vans了[斜眼R],6,0,0,0,图文,"['华为手机', '安卓手机', '华为怎么样', '范斯怎么样', '美少女战士']","['科技数码', '数码']",2020/5/12,天下第一最最好团团,,奶瓶薯,女,地球的某一片红薯地,9,1,6,0,6,https://www.xiaohongshu.com/discovery/item/5ebaac270000000001004f08
华为,超级?的华为免费主题分享给姐妹们,"萌兔兔这款主题是我现在在用的哦 嘿嘿[偷笑R]
华为手机的姐妹们也赶紧换上自己喜欢的主题叭[飞吻R]",5,4,0,0,图文,"['萌兔兔怎么样', '华为怎么样', '华为手机']","['科技数码', '使用技巧']",2020/5/12,你脸红什么啊,感谢你这么好看还关注我,奶瓶薯,女,中国  ,17,4,8,1,10,https://www.xiaohongshu.com/discovery/item/5ebaa8070000000001007e5c
华为,华为手机拍的！调色软件华为自带软件,为什么我出门不带相机了？因为我有华为手机！,0,0,0,0,图文,"['华为手机', '一个亿复古仓自由行热门攻略', '复古', '华为怎么样', '手机摄影']","['摄影', '摄影技巧']",2020/5/12,Tony Tong,上海自由人像摄影师,困困薯,男,上海  静安,14,8,10,0,33,https://www.xiaohongshu.com/discovery/item/5ebaa0cc000000000101d4c5
华为,2020年华为手机选购指南2-2,"接上一条
二、华为机型推荐
1、按价格分类推荐
1000以下， 建议购买其他品牌机型;
1000-2000，华为nova 5z、荣耀9x、荣耀20s、荣耀V20、荣耀Magic2;
2000-2500，荣耀20、华为nova5 Pro、荣耀20 Pro、 华为Mate20;
2500-3000, 华为P30、P40、荣耀V30、 荣耀V30 Pro、华为Mate20 Pro、华为Mate30；
3500-4500, 华为P30 Pro、华为Mate30 Pro、华为Mate30 5G、 P40
5000以上， 华为Mate30 Pro 5G、华为Mate 30RS保时捷设计、华为Mate X；P40Pro
2、按需求分类推荐
追求5G，荣耀V30 Pro、华为Mate30 5G、华为Mate30 Pro 5G；P40系列
P喜欢拍照，荣耀20 Pro、荣耀V30系列、华为nova6系列、华为Mate20 Pro、华为P30 Pro、华为Mate30系列；P40系列
追求轻薄，荣耀20s、荣耀20、华为nova5 Pro、华为P30；
追求性价比，荣耀9X、华为nova 5z、荣耀20s、荣耀V20、荣耀20、华为nova5 Pro、荣耀20 Pro、华为Mate20；mate30",4,1,0,0,图文,"['华为怎么样', '华为手机', '保时捷怎么样', '拍照']","['科技数码', '数码']",2020/5/12,小红薯5EB94911,专注电子产品,困困薯,男,中国  ,9,14,16,2,30,https://www.xiaohongshu.com/discovery/item/5ebaa057000000000101d22c
